iter,utterance_length,nb_utterances,produced,production_score
1,2,9220,6267,0.6797180043383948
1,3,9084,3729,0.4105019815059445
1,6,3203,234,0.07305650952232282
1,4,7033,1492,0.2121427555808332
1,7,1821,82,0.04503020318506315
1,5,4884,589,0.1205978705978706
1,8,1051,21,0.019980970504281638
1,12,123,0,0.0
1,9,575,4,0.006956521739130435
1,11,168,0,0.0
1,10,352,0,0.0
1,14,44,2,0.045454545454545456
1,13,59,1,0.01694915254237288
1,25,1,0,0.0
1,15,22,0,0.0
1,20,3,0,0.0
1,18,8,0,0.0
1,17,6,0,0.0
1,19,5,0,0.0
1,16,15,0,0.0
1,44,1,0,0.0
1,22,1,0,0.0
1,21,1,0,0.0
1,27,1,0,0.0
1,23,1,0,0.0
